place,mag,time,felt
Taiwan,4.6,1332373476000,
Taiwan region,4.5,1330566100500,
Taiwan,5.9,1330223700530,0.84
Taiwan,4.6,1328779009190,0.94
Taiwan region,4.5,1328459110530,0.85
Taiwan,4.1,1326083207200,
Taiwan,4.8,1325660396950,0.86
Taiwan,4.3,1323909341900,
Taiwan,4.4,1323861170750,1.02
Taiwan region,4.9,1322787323160,1.45
Taiwan,4.3,1321688582770,0.83
Taiwan region,4.2,1320074223480,1.1
Taiwan region,4.1,1318264412770,0.68
Taiwan region,4.2,1318175662900,1.36
Taiwan,4.2,1318073955800,1.01
Taiwan,4.6,1316653259000,
Taiwan,4,1316652957700,
Taiwan,4,1316644954000,
Taiwan,4.8,1316643512020,0.95
Taiwan,4,1316296852350,1.24
Taiwan,4.2,1316029701060,1.78
Taiwan,4.3,1315549373900,
Taiwan,4.2,1315549147800,
Taiwan,4.1,1315547880900,
Taiwan region,4.5,1315547537950,0.47
Taiwan region,4.5,1315538818710,0.93
Taiwan region,4.3,1314950418700,0.99
Taiwan,4.9,1314264910860,0.99
Taiwan,4.1,1314191715400,1.12
Taiwan,4.3,1313100452760,0.94
Taiwan region,4.2,1312517926990,0.82
Taiwan,4.7,1311084069330,0.89
Taiwan,4.5,1310928322820,1.09
Taiwan,5,1310469431020,1.01
Taiwan,4.8,1309953539240,0.99
Taiwan,4.6,1309696244030,0.95
Taiwan region,4.6,1309601046750,1.11
Taiwan,4.7,1309094354300,0.86
Taiwan,4.3,1309048281610,0.77
Taiwan region,4.4,1308531994300,
Taiwan,4.5,1308478735070,0.77
Taiwan region,4.3,1308416048790,1.53
Taiwan,4.5,1307669121540,0.91
Taiwan region,5,1307034473950,1.24
Taiwan,4.4,1306261924520,1.3
Taiwan,4.5,1306098436000,
Taiwan,5,1306028052320,1
Taiwan,4.2,1304757332900,1.12
Taiwan,4.4,1304717509280,1.09
Taiwan,4.7,1304437954320,0.97
Taiwan,5.1,1304152538840,0.97
Taiwan region,4.1,1301561398460,1
Taiwan region,4.6,1301561107890,1.33
Taiwan,4.4,1301458951500,
Taiwan,4.7,1301123951780,1.05
Taiwan region,4.3,1300937057700,
Taiwan,4,1300912049340,1.42
Taiwan region,5.4,1300608049140,1.05
Taiwan,4.4,1300281136410,0.92
Taiwan region,4.6,1300123313590,1.04
Taiwan,4,1299552413100,
Taiwan,4.2,1297058101170,0.93
Taiwan,5.2,1296548192020,0.95
Taiwan,4.5,1296507194190,1.1
Taiwan region,4.5,1294804390300,
Taiwan region,4.4,1291689974310,1
Taiwan,4.6,1291601651240,0.99
Taiwan,4.7,1290784424630,1.05
Taiwan,5.6,1290342705400,1.07
Taiwan,4.1,1290104051100,
Taiwan,4,1289876434540,0.32
Taiwan,4.8,1289576340810,1.15
Taiwan,4.8,1289221281860,0.98
Taiwan region,4.5,1287733155400,0.75
Taiwan,4.8,1286047391920,1.07
Taiwan,4.1,1285876559990,1.14
Taiwan,4.7,1285695232070,1.14
Taiwan,4.4,1285679411950,1.22
Taiwan,4.6,1284952627700,
Taiwan,4.5,1284244867200,
Taiwan,4.4,1283539477640,1.3
Taiwan,5.1,1282416480990,1.12
Taiwan,4.3,1282415961610,1.09
Taiwan,4.7,1282408680270,1.1
Taiwan,4.3,1280587747230,0.69
Taiwan,4.6,1280563996340,1.39
Taiwan,5.2,1280029931670,0.7
Taiwan,4.8,1279357457200,0.89
Taiwan,4.9,1278097892480,0.82
Taiwan,4.4,1277575551180,1.1
Taiwan,4.5,1276823323000,1.1
Taiwan,5.3,1276561878000,
Taiwan,4.4,1276535864330,0.94
Taiwan,4.2,1275651093720,1.47
Taiwan,4.3,1274610038070,1.1
Taiwan,4.4,1272823213800,1.14
Taiwan region,4.6,1272194050660,1.08
Taiwan,4.3,1271192154170,0.86
Taiwan,5,1271191747060,1.12
Taiwan,4.5,1271168967160,1.08
Taiwan region,5.3,1270961851030,0.89
Taiwan,3.9,1270785199300,
Taiwan,4.2,1270210371270,0.83
Taiwan,4.8,1269644873860,0.93
Taiwan,4.6,1269425598800,
Taiwan region,4,1268931239500,
Taiwan,4.5,1268113881220,0.67
Taiwan,4.5,1268112709310,0.85
Taiwan,4.1,1268070869520,1.22
Taiwan,4.3,1268040384870,0.99
Taiwan,4.6,1267696021270,1.01
Taiwan,5.2,1267690576850,0.82
Taiwan region,4.3,1267690082380,1.08
Taiwan region,4.7,1267686436190,1.4
Taiwan,4.8,1267662284780,1.51
Taiwan,6.3,1267661931290,0.88
Taiwan,4.9,1265942558530,0.78
Taiwan,4.9,1263881367160,1
Taiwan,4.7,1263377686870,0.66
Taiwan region,4,1263093871790,0.72
Taiwan,4.5,1262633257000,1.12
Taiwan,4.5,1262367285620,0.98
Taiwan,4.1,1262237919340,0.96
Taiwan,4.4,1261746015700,
Taiwan,4.1,1261275144500,0.77
Taiwan,6.4,1261227735570,1.04
Taiwan,4.5,1260692003640,1.3
Taiwan region,4.3,1259377461470,1.2
Taiwan,4.1,1258926368700,0.81
Taiwan,4.5,1258824470290,0.99
Taiwan,4.4,1257678566630,1.48
Taiwan,5.2,1257420858880,0.8
Taiwan,4.7,1257413887690,1.4
Taiwan,5.6,1257413576560,0.88
Taiwan region,4.9,1256252703310,0.92
Taiwan,4.6,1256244381350,1.02
Taiwan,4.6,1256182610570,1.26
Taiwan,4.3,1254626222750,0.91
Taiwan,6.1,1254591366120,0.97
Taiwan,4.5,1253354250440,0.51
Taiwan region,4.7,1253253236100,
Taiwan,5.1,1250888264470,0.66
Taiwan,4.3,1250026863000,
Taiwan,4.5,1249212887720,1.18
Taiwan region,5.4,1248886383820,0.87
Taiwan,5,1248588658160,0.97
Taiwan,5.1,1248570012410,0.8
Taiwan,4.5,1248159490770,0.99
Taiwan,4.6,1247654253900,1.23
Taiwan,4.3,1246208529320,0.95
Taiwan,4.7,1246182765580,1.14
Taiwan,5.1,1246181696480,1.18
Taiwan,4.4,1246167875680,0.63
Taiwan,4.2,1245393044000,0.27
Taiwan,4.4,1245259065600,
Taiwan,4.2,1244811112870,0.81
Taiwan,4,1244710298260,0.69
Taiwan,4.5,1242397862230,1.3
Taiwan,4.8,1239971868820,1.08
Taiwan,4.2,1239347444830,1.28
"near the coast of Fujian, China",0,1237774116730,0.65
Taiwan,4.7,1237014101620,1.42
Taiwan,4.4,1236936570610,0.91
Taiwan,4.4,1235998795900,0.94
Taiwan region,4.8,1234214675700,
Taiwan region,4.5,1234204432710,1.27
Taiwan region,4.5,1234070333580,0.92
Taiwan region,4.3,1233729598570,1.17
Taiwan,4.5,1232804796310,0.9
Taiwan,5,1231020274930,1.02
Taiwan region,0,1230750461620,1.09
Taiwan,0,1230489275580,0.67
Taiwan,4.4,1230216279130,0.67
Taiwan,0,1229992336410,0.52
Taiwan,5.1,1229990685600,
Taiwan,3.4,1229909070500,
Taiwan,3,1229668853110,0.97
Taiwan,3.1,1229667268370,1.42
Taiwan,4.3,1229666207820,1.18
Taiwan,0,1229656680790,0.37
Taiwan,0,1229636857070,1.31
Taiwan,4.3,1229541450990,1.07
Taiwan region,0,1229062342960,0.31
Taiwan,0,1228678930480,1.12
Taiwan,0,1228599287700,1.01
Taiwan,0,1228593329620,0.21
Taiwan,0,1228386116980,0.74
Taiwan,4.3,1228375445150,0.52
Taiwan,0,1228295023330,0.97
Taiwan,5.3,1228187813300,
Taiwan region,0,1228098509710,1.26
Taiwan,0,1228093088790,0.51
Taiwan,0,1228037951930,1.07
Taiwan,4.1,1227911831300,
Taiwan,0,1227801424200,
Taiwan,3.8,1227663056530,0.58
Taiwan,3.9,1227661223820,0.32
Taiwan,3.4,1227435989930,0.94
Taiwan region,3.1,1227424007920,0.99
Taiwan,0,1227160435140,1.02
Taiwan region,0,1227107516320,0.72
Taiwan,4,1226975103960,0.75
Taiwan,3.5,1226549356660,1.14
Taiwan,4.2,1226425447070,1.13
Taiwan region,0,1226381056750,1
Taiwan,4.2,1225956047230,0.84
Taiwan,3.9,1225863726360,0.68
Taiwan,4.2,1225760833810,0.89
Taiwan,4.4,1225442295460,1.21
Taiwan,0,1225409801100,0.41
Taiwan,4.4,1225405523300,
Taiwan,4.6,1225134037600,
Taiwan,0,1225060125440,0.73
Taiwan,3.8,1224910076380,0.78
Taiwan,0,1224729807260,1.37
Taiwan,3.3,1223956502760,1.07
Taiwan,0,1223631285780,0.91
Taiwan,3.3,1223264595850,1.07
Taiwan,0,1222760898930,0.36
Taiwan region,0,1222667417910,1.31
Taiwan,0,1222555872640,1.22
Taiwan,4.1,1222378049800,
Taiwan,4.3,1222327532630,0.61
Taiwan,4.2,1222196251490,0.97
Taiwan region,0,1222117262720,0.93
Taiwan,3.9,1221604073270,0.72
Taiwan,0,1221414349540,1.13
Taiwan,3.8,1221274716950,0.68
Taiwan,0,1221038396500,0.31
Taiwan,0,1220940820950,1.24
Taiwan,4.7,1220862698030,1.32
Taiwan,4.1,1220742034790,0.65
Taiwan,4.1,1220430019790,0.47
Taiwan region,0,1220370693260,0.8
Taiwan,0,1220206927710,1.34
Taiwan region,4.2,1220179542120,1.35
Taiwan,0,1220171647820,1.33
Taiwan,0,1219894242710,0.48
Taiwan,4.3,1219869252170,0.72
Taiwan,0,1219842493830,0.08
Taiwan,4.4,1219772876030,0.89
Taiwan region,3.5,1219439441710,1.07
Taiwan region,0,1219408459620,0.67
Taiwan,4.1,1219373756680,0.85
Taiwan region,3.5,1219209039880,0.69
Taiwan region,0,1219156405710,1.18
Taiwan,0,1219145218020,0.58
Taiwan,4,1219062775220,1.15
Taiwan,4.1,1218994675080,0.79
Taiwan,0,1218933284190,0.37
Taiwan,3.6,1218806758180,0.23
Taiwan,0,1218782305540,0.51
Taiwan,0,1218756268970,1.1
Taiwan,4.2,1218569011750,1.2
Taiwan,3.5,1218529948190,1.86
Taiwan,4.2,1218511691500,
Taiwan,4.9,1217616947220,0.98
Taiwan region,0,1217549607300,1.01
Taiwan,0,1217540502350,0.68
Taiwan,0,1217538549690,1.03
Taiwan,4,1217538115100,
Taiwan region,3.2,1217413632460,0.7
Taiwan,4.2,1217105482050,0.8
Taiwan,4.4,1217103309850,0.76
Taiwan,0,1216868417400,0.31
Taiwan,0,1216853010040,0.1
Taiwan,0,1216852060090,0.61
Taiwan,4.2,1216823936110,1.31
Taiwan,0,1216735907470,1.46
Taiwan,0,1216735412450,1.45
Taiwan region,4.1,1216321029200,0.84
Taiwan region,3.8,1216093999810,0.83
Taiwan,0,1215848147400,0.9
Taiwan,4.6,1215843105840,1.02
Taiwan,4.3,1215839910250,1.05
Taiwan,0,1215819708120,0.71
Taiwan,3,1215610223100,0.3
Taiwan region,4.2,1215101673050,0.85
Taiwan,0,1215100274940,1.43
Taiwan,0,1215054577260,1.07
Taiwan,4.5,1215043537900,
Taiwan,0,1215006964430,1.45
Taiwan,0,1214978793100,1.17
Taiwan region,0,1214664901190,0.59
Taiwan,0,1214213169250,0.83
Taiwan region,3.1,1214207321010,1.28
Taiwan,4.2,1214128506740,1.08
Taiwan region,3.8,1214089831330,1.21
Taiwan region,4.2,1214086757630,1.03
Taiwan region,3.6,1214033378290,1
Taiwan,0,1213991545220,0.96
Taiwan,0,1213985980410,0.86
Taiwan region,3.3,1213923822920,0.8
Taiwan,0,1213858416700,0.35
Taiwan,4.1,1213801030610,1.58
Taiwan,3.4,1213639709100,0.7
Taiwan,4.7,1213528554960,1.1
Taiwan,3.1,1213494430150,1
Taiwan,4.7,1213486165700,
Taiwan,4.1,1213309683200,
Taiwan region,4.8,1213158819130,0.88
Taiwan,0,1213136328750,0.88
Taiwan,4.3,1213058053800,
Taiwan region,0,1212992972310,0.86
Taiwan,0,1212839990880,1.2
Taiwan,0,1212785632790,0.72
Taiwan,3.1,1212735409990,1.35
Taiwan,3,1212658236170,0.72
Taiwan,0,1212501672220,0.5
Taiwan,0,1212470024630,0.83
Taiwan,3,1212450433200,0.52
Taiwan,3.8,1212413112650,1.04
Taiwan,0,1212394690400,0.49
Taiwan,0,1212380632370,0.7
Taiwan,5.3,1212339563800,0.78
Taiwan,3,1212231912260,0.52
Taiwan,3.1,1211970678600,0.95
Taiwan,0,1211694261580,0.95
Taiwan,0,1211621013720,0.6
Taiwan,0,1211471469220,1.28
Taiwan,0,1211372372980,0.3
Taiwan region,0,1211165634780,0.36
Taiwan,0,1211159731280,0.76
Taiwan,0,1211024985790,1.13
Taiwan,4.1,1210883354940,0.55
Taiwan,0,1210829864020,0.48
Taiwan region,5.2,1210703276780,0.95
Taiwan,3.7,1210685274590,0.67
Taiwan,3,1210669665830,1
Taiwan,0,1210579733980,0.17
Taiwan,0,1210549267140,0.93
Taiwan region,0,1210474655270,0.33
Taiwan,3.5,1210453892250,0.99
Taiwan,0,1210386964600,0.11
Taiwan,0,1210348972480,1.36
Taiwan,0,1210315366990,0.75
Taiwan,0,1210257518470,1.02
Taiwan,3.1,1210218085390,1.03
Taiwan,3.3,1210157582220,0.81
Taiwan,0,1210030868530,0.34
Taiwan,0,1209925773160,1.47
Taiwan,0,1209905899280,0.78
Taiwan region,0,1209869875910,0.92
Taiwan,4.5,1209820630310,1.3
Taiwan,0,1209804408190,1.35
Taiwan,0,1209638497790,0.82
Taiwan region,3.3,1209533736720,0.41
Taiwan region,0,1209460402510,1.13
Taiwan region,0,1209383727420,0.66
Taiwan region,4.7,1209362379020,1.1
Taiwan,4.2,1209339084200,
Taiwan region,4.1,1209291755440,1.21
Taiwan,0,1209239958170,1.18
Taiwan region,3.8,1209220414250,0.81
Taiwan region,3.6,1209206275470,0.8
Taiwan region,4.1,1209195847810,0.62
Taiwan region,3.8,1209186641760,1.48
Taiwan,3.7,1209149768800,1.12
Taiwan region,0,1209112530500,0.38
Taiwan region,3.8,1209110900850,0.94
Taiwan region,4.4,1209105935780,1.16
Taiwan region,3.1,1209072813010,0.72
Taiwan region,3,1209072383820,0.7
Taiwan,3.6,1209060879120,0.69
Taiwan region,0,1209038281210,0.84
Taiwan region,0,1209037646410,0.87
Taiwan region,0,1209012653950,0.95
Taiwan region,3.1,1209003490180,0.91
Taiwan region,3.5,1209003096650,0.79
Taiwan,0,1209000854400,1.26
Taiwan region,3.7,1208999042780,0.84
Taiwan region,4.5,1208994826270,0.87
Taiwan region,4.1,1208993118510,0.86
Taiwan region,0,1208991956390,0.82
Taiwan region,0,1208991760550,1.2
Taiwan region,0,1208989403560,1.27
Taiwan region,5,1208988552390,1.14
Taiwan region,5.1,1208988255400,
Taiwan region,0,1208986868820,1.15
Taiwan region,0,1208986318660,0.78
Taiwan region,0,1208985009330,0.81
Taiwan region,4.5,1208982087580,1.11
Taiwan region,3.7,1208981447000,1.17
Taiwan region,3.7,1208979230860,1.08
Taiwan region,3.7,1208976770230,1.17
Taiwan region,6,1208975321880,1.31
Taiwan,3.4,1208932747060,1.31
Taiwan,0,1208932604000,0.08
Taiwan region,0,1208932432280,1.41
Taiwan,4.7,1208931880980,0.96
Taiwan,0,1208611042490,0.06
Taiwan region,0,1208222393410,0.94
Taiwan region,4,1208200151290,0.96
Taiwan region,4,1208188075940,0.88
Taiwan region,5,1208187583980,0.97
Taiwan,4.3,1208102527700,
Taiwan region,0,1208083460900,0.93
Taiwan,4.5,1207995018440,0.31
Taiwan,0,1207551935370,0.74
Taiwan region,0,1207477547990,1.17
Taiwan region,3.9,1207343965450,1.03
Taiwan,0,1207327676210,0.46
Taiwan,4,1205906006520,0.79
Taiwan,0,1205878862640,0.54
Taiwan region,0,1205703577860,1.21
Taiwan,3.1,1205667893310,1.39
Taiwan,0,1205537751940,0.05
Taiwan,2.7,1205303533660,1.25
Taiwan,0,1205276959890,0.08
Taiwan,0,1205128918860,0.87
Taiwan,3.2,1205120922380,1.15
Taiwan region,0,1204986090510,0.65
Taiwan region,4,1204746020630,1.05
Taiwan,0,1204699899970,0.72
Taiwan,4.2,1204670552810,1.06
Taiwan,5.2,1204651906760,0.95
Taiwan,0,1204650816210,1.1
Taiwan,4.4,1204635398160,1.42
Taiwan,4.2,1204583116600,
Taiwan,4,1204424825700,0.23
Taiwan region,0,1203994457670,1.24
Taiwan,4.3,1203790452920,1.12
Taiwan,4.4,1203639725510,1.37
Taiwan,0,1203566323680,0.92
Taiwan,0,1203494144030,0.22
Taiwan,0,1203284088870,0.84
Taiwan,0,1203281670920,0.89
Taiwan,0,1203281273580,0.98
Taiwan,5.4,1203280383100,
Taiwan,0,1203174154610,1.12
Taiwan,4,1203145952110,0.86
Taiwan,0,1203066111300,0.33
Taiwan,3.7,1202881621660,1.42
Taiwan,0,1202798035040,1.24
Taiwan,0,1202723039000,1.31
Taiwan,0,1202565123410,1.06
Taiwan region,4.2,1202277458100,1.12
Taiwan region,3.9,1202231206480,1.31
Taiwan,4,1202222717900,
Taiwan,0,1202115559830,0.41
Taiwan,0,1202076617980,1.26
Taiwan,0,1201964024030,0.54
Taiwan,0,1201963474250,0.4
Taiwan region,0,1201961508490,0.86
Taiwan,0,1201933723820,1
Taiwan,0,1201719827690,1.41
Taiwan,4.1,1201631617530,1.1
Taiwan,4,1201115661830,0.35
Taiwan region,4,1201004688940,1.2
Taiwan region,3.8,1200856353060,1.44
Taiwan,4,1200625247810,0.28
Taiwan region,3.1,1200606953740,0.39
Taiwan,0,1200370436750,1.08
Taiwan,0,1200185777640,0.42
Taiwan,0,1200183128070,0.99
Taiwan region,0,1200121421060,1.28
Taiwan region,4.5,1199798795530,1.14
Taiwan,0,1199364821410,0.64
Taiwan,3.1,1198964896470,1.1
Taiwan,4,1198950433800,
Taiwan,4.1,1198522116280,0.8
Taiwan region,0,1198441980520,1.07
Taiwan,4.7,1198410622470,0.96
Taiwan,4,1198375964010,0.71
Taiwan,3.4,1198254088550,0.72
Taiwan,0,1198179533730,1.19
Taiwan,0,1198018705400,0.5
Taiwan,0,1197398624660,0.69
Taiwan,4.5,1197132718290,0.84
Taiwan region,3.2,1197105791880,0.34
Taiwan,4.2,1196950527540,0.44
Taiwan,4.4,1196852591530,1.46
Taiwan region,5,1196818900890,0.87
Taiwan,0,1196774951340,1
Taiwan region,3.7,1196546787600,1.35
Taiwan region,4.3,1196287793400,
Taiwan region,4.6,1196283914300,
Taiwan,4.4,1195976312300,
Taiwan region,4.6,1195794023100,1.19
Taiwan,3.9,1195506142400,
Taiwan,4.2,1195091428660,0.64
Taiwan,4.5,1194863082500,
Taiwan region,4.2,1194822169000,
Taiwan,4.1,1194250044390,0.62
Taiwan,3.6,1193590750220,1.24
Taiwan region,3.9,1192996662830,0.78
Taiwan,4.5,1192803918920,1.51
Taiwan,5,1192632000470,0.87
Taiwan,4.6,1192071901890,1.05
Taiwan,4.1,1191800757000,
Taiwan,4.2,1190442423750,1.06
Taiwan,4.3,1188908191420,0.7
Taiwan region,3.7,1188406186520,1.32
Taiwan region,4.4,1188244136080,1.19
Taiwan region,4.5,1188060215330,1.55
Taiwan,3.8,1187940726620,1.46
Taiwan region,4.3,1186795923820,0.94
Taiwan region,5.3,1186620952300,1.15
Taiwan region,4.1,1185668983530,0.65
Taiwan,0,1185615465210,1.25
Taiwan region,0,1185456103720,0.81
Taiwan,5.2,1185198002160,0.97
Taiwan,3.9,1184712147350,0.38
Taiwan,4.7,1184629372700,
Taiwan,4.4,1184273653300,1.23
Taiwan,4.5,1181939353710,0.97
Taiwan region,3.9,1180669882240,1.18
Taiwan region,3.7,1180216954660,0.67
Taiwan,3,1180102164710,0.5
Taiwan,3.8,1178992210440,0.86
Taiwan,4.3,1177756791320,1.06
Taiwan,4.3,1177521112550,0.75
Taiwan,0,1176715148830,0.51
Taiwan,3.7,1176010590700,1.02
Taiwan,0,1175309106510,0.84
Taiwan,4.4,1175260904760,1
Taiwan,3.6,1174928661660,1.34
Taiwan region,4.1,1174674180500,1.16
Taiwan region,3.8,1174045238950,0.93
Taiwan,4.2,1173873617410,1.03
Taiwan,4.4,1173706551050,1.22
Taiwan,4.3,1173368255970,0.78
Taiwan,3.9,1173113018890,1.32
Taiwan,4.3,1173111224240,1.04
Taiwan,4.2,1173105280300,1.25
Taiwan,3.7,1172979927640,1.3
Taiwan region,4.2,1172687291190,1.06
Taiwan,3.9,1172612828990,1.09
Taiwan,4.4,1172606229740,1.04
Taiwan,4.2,1172179758180,1.2
Taiwan,4.4,1172178016400,
Taiwan,4.2,1172126812080,0.85
Taiwan,3.5,1171497041230,0.46
Taiwan region,4.7,1171423830930,1.03
Taiwan,4.4,1171423576510,0.84
Taiwan region,4,1171409889400,0.99
Taiwan region,0,1171343508810,0.74
Taiwan region,4.8,1170524118280,1.22
Taiwan region,4.6,1170262058310,1.35
Taiwan region,3.6,1170261660580,1.39
Taiwan region,6,1169722757650,1.1
Taiwan Strait,4.8,1169293688230,0.69
Taiwan,0,1169205307650,0.48
Taiwan,4.7,1169006423860,0.77
Taiwan,4.2,1168754102690,0.94
Taiwan,4.7,1168709030500,1.61
Taiwan,3.3,1168448007520,0.97
Taiwan,4.2,1168259463710,0.49
Taiwan region,4,1168026711630,1.17
Taiwan region,0,1167670768140,0.97
Taiwan,3.2,1167588169870,0.48
Taiwan region,3.8,1167517242110,0.83
Taiwan region,4.6,1167333079630,0.45
Taiwan region,4.6,1167324675740,1.03
Taiwan region,4.5,1167248893730,0.65
Taiwan region,5.6,1167186636540,0.69
Taiwan,3.9,1167173673830,1.18
Taiwan region,3.3,1167151315990,0.3
Taiwan region,4.6,1167149430780,0.57
Taiwan,3.4,1167148908070,0.94
Taiwan,5.4,1167147704780,0.78
Taiwan,3.9,1167147676740,0.73
Taiwan region,3.2,1167142169380,0.67
Taiwan region,6.9,1167136453800,1.12
Taiwan,4.6,1167121201260,1.12
Taiwan,4.5,1166362932040,0.71
Taiwan region,4.7,1166094637850,1.16
Taiwan,4.2,1165368969600,
Taiwan,4.4,1165358161200,
Taiwan,3.2,1165124362570,0.73
Taiwan region,3.4,1164954192320,0.87
Taiwan,4.1,1164570368880,0.59
Taiwan,4.4,1163299259300,
Taiwan,4.1,1162833351190,0.37
Taiwan,4,1162827114350,1.34
Taiwan,0,1162823647710,0.57
Taiwan,4.1,1162060639850,0.98
Taiwan region,4.5,1162046211480,0.87
Taiwan,4.5,1160354665300,
Taiwan,4.5,1160307759680,1.07
Taiwan,4.4,1159684578500,0.95
Taiwan,4.1,1159337580000,
Taiwan region,3.8,1158610502730,1.42
Taiwan,4.6,1158353675530,1.35
Taiwan region,4,1158266854130,0.65
Taiwan,4.2,1157581478800,
Taiwan region,4.2,1156517487680,0.93
Taiwan,0,1156028114630,0.2
Taiwan,4.2,1155707258760,0.64
Taiwan,3.7,1155595018640,1.54
Taiwan,4.2,1155578564980,0.66
Taiwan,4.2,1155406539890,1.6
Taiwan region,4.3,1155354114980,1.02
Taiwan region,5.2,1155340267560,1.01
Taiwan,4.4,1155212722320,0.75
Taiwan,4.3,1154182306370,1.24
Taiwan,3.9,1153001155880,1.03
Taiwan,3.7,1151866098080,1.27
Taiwan,4.6,1150509887080,0.93
Taiwan region,4.4,1150128880350,1.01
Taiwan,3.7,1150016273230,1.09
Taiwan region,3.6,1149437193470,0.98
Taiwan region,4.9,1149411958960,1.04
Taiwan,4.4,1149363637930,1.2
Taiwan,4.4,1149343484660,1.64
Taiwan region,4.2,1149128767640,0.86
Taiwan region,4,1148939299500,0.93
Taiwan,4.4,1147743543600,
Taiwan,4.2,1147258752100,1.35
Taiwan region,3.8,1146890828440,1.22
Taiwan,5.2,1146215126030,1.1
Taiwan,4.2,1146097858800,
Taiwan region,4,1145947017980,0.74
Taiwan,4,1145323561700,
Taiwan region,4.1,1145156217260,1.35
Taiwan region,3.7,1145144519570,1.39
Taiwan region,5.9,1145140854230,1.05
Taiwan region,4.2,1144806134900,
Taiwan,3.8,1144462121520,0.73
Taiwan region,4.3,1144154964760,1.12
Taiwan region,4.4,1144133943580,1.41
Taiwan region,4.6,1144133313750,0.81
Taiwan region,4.3,1144129164900,0.88
Taiwan region,3.8,1144077016850,0.63
Taiwan,3.9,1143985281490,1.28
Taiwan,3.6,1143973412340,0.47
Taiwan region,4.2,1143896213350,1.37
Taiwan region,4.2,1143892431350,0.94
Taiwan region,4.8,1143888019390,1.13
Taiwan region,6.1,1143885739570,1.02
Taiwan,4.6,1143653457970,1.03
Taiwan,3.8,1143616860730,1.02
Taiwan,4.3,1143536169230,0.87
Taiwan,3,1143381434150,1.43
Taiwan,4.4,1143381188490,1.16
Taiwan,4.1,1142684149700,
Taiwan,4.7,1141877249140,0.95
Taiwan region,4,1140969176120,0.73
Taiwan,0,1140800568420,0.65
Taiwan,4.7,1140725942380,1.22
Taiwan,3.8,1140272531510,0.81
Taiwan,3.9,1139326915150,0.76
Taiwan region,4.1,1139284607630,0.78
Taiwan,0,1138600201280,0.27
Taiwan,4.4,1138585362800,
Taiwan region,3.9,1138456970450,1.17
Taiwan region,3.9,1136981173810,1.34
Taiwan,4.7,1136739695750,1
Taiwan,3.8,1136634761300,1.35
Taiwan region,3.9,1136448358780,1.49
Taiwan region,4.3,1135976851310,0.82
Taiwan region,4.7,1135808245900,0.92
Taiwan region,4.9,1134710133500,1
Taiwan,3.5,1134249317580,0.32
Taiwan,4.3,1133908463610,1.22
Taiwan region,4.8,1133304109980,0.89
Taiwan,4.5,1132975232090,0.92
Taiwan,4.6,1132062094000,
Taiwan,0,1131440913510,1.64
Taiwan,4.2,1131428968610,0.61
Taiwan,4.1,1131428922740,1
Taiwan,4.5,1129168160050,1.71
Taiwan,4.2,1128528994080,0.89
Taiwan,4,1128475635750,1.31
Taiwan,0,1128383705900,
Taiwan,4.3,1128153007700,
Taiwan region,0,1127827974170,0.04
Taiwan,5.2,1127760620400,
Taiwan,4.2,1127501135900,1.25
Taiwan,4.6,1127494188810,0.97
Taiwan region,0,1127473154140,1.19
Taiwan region,4.1,1127471660570,1.13
Taiwan,4.5,1127456635260,0.78
Taiwan,4.5,1126565601400,
Taiwan,4.5,1125359454800,
Taiwan,0,1125212052620,1.07
Taiwan region,4.4,1124745312940,0.87
Taiwan,4.3,1124201652590,0.69
Taiwan,4.1,1124201491860,0.47
Taiwan,3.9,1123439948360,0.96
Taiwan,4.2,1122777950990,0.84
Taiwan,4.4,1122385024200,
Taiwan,0,1122033146790,1.29
Taiwan,4.5,1121856525120,1.44
Taiwan,4.4,1121702028230,1.35
Taiwan,4,1121679846830,1.4
Taiwan,4.1,1120902257450,1.27
Taiwan,4.8,1119087066330,1.06
Taiwan,4,1118903230050,0.94
Taiwan,4.6,1118866098340,0.39
Taiwan region,4.3,1118801351340,0.83
Taiwan,4.1,1118677979100,0.91
Taiwan,4.3,1118501299720,1.06
Taiwan,4.2,1118405169370,0.78
Taiwan,4.7,1118396676250,1
Taiwan,4.8,1118367166900,1.03
Taiwan,3.8,1118173713220,0.61
Taiwan,5,1118162704300,1.11
Taiwan,3.8,1118077790990,0.88
Taiwan region,3.7,1117980328400,1.2
Taiwan,4.2,1117934187530,0.53
Taiwan,4.2,1117931682720,1.31
Taiwan,4.1,1117931624560,1.35
Taiwan,4.5,1117405043590,0.98
Taiwan,4.3,1116390662650,0.87
Taiwan,4.3,1116353193200,1.06
Taiwan,4,1115949829890,0.75
Taiwan,4.4,1115942659200,0.86
Taiwan region,4.3,1115753265390,1.33
Taiwan,4.3,1115669083070,0.75
Taiwan region,3.9,1115578466510,0.76
Taiwan,4,1115231972770,1.56
Taiwan,4.5,1115167249990,0.87
Taiwan,4.3,1115094777850,1.28
Taiwan,4.2,1115060934920,1.13
Taiwan,4.3,1114981676980,1.12
Taiwan,4.3,1114889411360,1.22
Taiwan,4.1,1114888816460,0.92
Taiwan,4.1,1114884076690,0.97
Taiwan,4.4,1114882990640,0.95
Taiwan,4.4,1114873657520,0.94
Taiwan,4.6,1114873160400,0.61
Taiwan,5.3,1114872496080,1.06
Taiwan,4.2,1114838353530,0.59
